Razão Social,CNPJ,Atividades Aéreas,Endereço Sede,Telefone,EMail,Decisão Operacional,Data Decisão Operacional,Validade_Operacional,id_icao,IATA
ABSA - AEROLINHAS BRASILEIRAS S.A.,00.074.635/0001-33,TRANSPORTE AÉREO REGULAR,"AEROPORTO INTERNACIONAL DE VIRACOPOS, RODOVIA SANTOS DUMONT, KM 66, SISTEMA VIÁRIO PRINCIPAL, S/ Nº, 13.052-970, CAMPINAS-SP",(11) 5582-8055,gar@tam.com.br,DECISÃO Nº 41,22/04/2015,23/04/2025,LTG,M3
AZUL LINHAS AÉREAS BRASILEIRAS S/A,09.296.295/0001-60,TRANSPORTE AÉREO REGULAR,"AV. MARCOS PENTEADO ULHÔA RODRIGUES,N°939, 9° ANDAR TORRE JATOBÁ, COND. CASTELO BRANCO OFFICE PARK - TAMBORÉ, 06.460-040, BARUERI-SP", (55) (11) 4134-9887 | Fax: (55)(11)4134-9890,vanessa.reis@voeazul.com.br,Decisão nº 178,20/11/2018,21/11/2028,AZU,AD
MAP TRANSPORTES AÉREOS LTDA.,10.483.635/0001-40,TRANSPORTE AÉREO REGULAR,"AVENIDA SANTOS DUMONT, Nº 1350, AEROPORTO INTERNACIONAL DE MANAUS EDUARDO GOMES - SAGUÃO DE EMBARQUE DO TPS I - HANGAR I, BAIRRO TARUMÃ, 69.041-000, MANAUS-AM",(92) 36521620,contabil@voemap.com.br,DECISÃO Nº 89,14/08/2012,17/08/2022,PAM,7M
MODERN TRANSPORTE AEREO DE CARGA S.A,03.887.831/0001-15,TRANSPORTE AÉREO REGULAR,"AVENIDA PREFEITO LUIZ LATORRE, Nº 9450, CONDOMINIO MASTER BUSINESS PARK, GALPÃO 17, SALA 1, VILA DAS HORTÊNCIAS, 13.209-430, JUNDIAÍ-SP",(21) 2272-9272 / (11) 31096750,juridico@modern.com.br,DECISÃO Nº 79,31/05/2017,02/06/2027,MWM,WD
SIDERAL LINHAS AÉREAS LTDA.,10.919.908/0001-57,"TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR","RODOVIA CONTORNO LESTE BR-116, Nº 9.119, 3º ANDAR, SALA 01, BAIRRO COSTEIRA. CAIXA POSTAL Nº 1054, 83.015-162, SÃO JOSÉ DOS PINHAIS-PR",(41) 3116-9000 / (41) 3116-9059,office@siderallinhasaereas.com.br  ,DECISÃO Nº 37,05/03/2020,06/03/2025,SID,0S
TAM LINHAS AÉREAS S.A.,02.012.862/0001-60,TRANSPORTE AÉREO REGULAR,"RUA ÁTICA , N° 673, 6ª ANDAR, SALA 62, JARDIM BRASIL, 04.634-042, SÃO PAULO-SP",(11) 5582-8055 / (11) 5582-8050,gar@tam.com.br   ,DECISÃO Nº 366,07/07/2021,09/11/2031,TAM,JJ
TOTAL LINHAS AÉREAS S.A.,32.068.363/0001-55,"SERVIÇOS AÉREOS PÚBLICOS, TRANSPORTE AÉREO REGULAR","AV. SENADOR SALGADO FILHO, 5397 SALA D - BAIRRO UBERABA, 81.580-000, CURITIBA-PR",(41) 3371-8200 / (31) 3343-8600,geraldo.antonio@total.com.br   ,DECISÃO Nº 260,12/01/2021,14/01/2031,TTL,L1
OMNI TÁXI AÉREO S.A.,03.670.763/0001-38,"AEROFOTOGRAFIA, AEROINSPEÇÃO, SERVIÇOS AÉREOS PÚBLICOS, TÁXI-AÉREO, TRANSPORTE AÉREO NÃO REGULAR","AV. AYRTON SENNA, 2541 RUA F1 LOTE 40 - AEROPORTO DE JACAREPAGUÁ - BARRA DA TIJUCA, 22.775-002, RIO DE JANEIRO-RJ",(61) 98335-3444,lira@plfconsultoria.com.br,DECISÃO Nº 100,10/07/2019,12/07/2024,OMI,O1
PRIME TÁXI AIR LTDA,23.568.370/0001-25,"TÁXI-AÉREO, TRANSPORTE AÉREO NÃO REGULAR, SERVIÇOS AÉREOS PÚBLICOS","AL. RIO NEGRO, 585 - BLOCO A - CJ.95 - SALA E, 06.454-000, BARUERI-SP",(11) 41958307 / (11) 41958308,mmatta@primefractionclub.com.br,DECISÃO Nº 237,17/12/2020,18/12/2025,nan,
SIDERAL LINHAS AÉREAS LTDA.,10.919.908/0001-57,"TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR","RODOVIA CONTORNO LESTE BR-116, Nº 9.119, 3º ANDAR, SALA 01, BAIRRO COSTEIRA. CAIXA POSTAL Nº 1054, 83.015-162, SÃO JOSÉ DOS PINHAIS-PR",(41) 3116-9000 / (41) 3116-9059,office@siderallinhasaereas.com.br  ,DECISÃO Nº 37,05/03/2020,06/03/2025,SID,0S
RTS - ROTA DO SOL TÁXI AÉREO LTDA.,01.904.715/0001-31,"LIGAÇÃO AÉREA SISTEMÁTICA REGULAR, SERVIÇOS AÉREOS PÚBLICOS, TÁXI-AÉREO","PRAÇA EDUARDO GOMES, S/Nº, TERMINAL DE AVIAÇÃO GERAL, SALA 013 - BAIRRO VILA UNIÃO, 60.422-721, FORTALEZA-CE",(85) 3272-3555,quadros@voerotadosol.com,DECISÃO Nº 21,13/02/2019,15/02/2024,CKP,
